[ 2024-11-19 22:24:26,803 ] 17 root - INFO - Initiate the data ingestion
[ 2024-11-19 22:25:31,006 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-11-19 22:25:31,006 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-11-19 22:25:31,007 ] 75 root - INFO - Exporting train and test file path.
[ 2024-11-19 22:25:31,131 ] 84 root - INFO - Exported train and test file path.
[ 2024-11-19 22:25:31,132 ] 19 root - INFO - Data Initiation Completed
[ 2024-11-19 22:25:31,162 ] 24 root - INFO - Initiate the data Validation
[ 2024-11-19 22:25:31,248 ] 32 root - INFO - Required number of columns:2
[ 2024-11-19 22:25:31,248 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-19 22:25:31,248 ] 32 root - INFO - Required number of columns:2
[ 2024-11-19 22:25:31,248 ] 33 root - INFO - Data frame has columns:31
[ 2024-11-19 22:25:31,612 ] 26 root - INFO - data Validation Completed
[ 2024-11-19 22:25:31,613 ] 30 root - INFO - data Transformation started
[ 2024-11-19 22:25:31,613 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-11-19 22:25:31,613 ] 65 root - INFO - Starting data transformation
[ 2024-11-19 22:25:31,671 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-11-19 22:25:31,671 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-11-19 22:25:31,720 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-11-19 22:25:31,740 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-11-19 22:25:31,741 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-11-19 22:25:31,767 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-11-19 22:25:31,771 ] 34 root - INFO - data Transformation completed
